event,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
1,7,6,8,8,9,8,6,7,7,7,7,7,7,7,5,6,8,5,7,7,7,9,9,5,5,5,7,8,9,9
2,4,4,6,5,5,5,7,5,6,5,6,6,4,6,3,4,5,4,3,5,7,4,4,5,7,7,6,6,4,3
3,7,3,3,4,4,6,6,4,6,5,4,7,4,6,6,3,4,6,7,5,4,6,5,5,5,4,3,3,5,5
4,3,5,4,4,5,6,4,5,4,5,4,2,3,3,3,4,5,5,4,4,3,4,5,2,6,4,4,6,4,4
5,8,8,7,7,6,5,4,7,7,5,5,4,8,5,8,6,6,7,6,5,4,4,5,7,6,4,7,8,7,8
6,6,4,5,8,8,3,7,5,5,7,4,7,4,6,6,6,4,3,5,6,5,6,4,6,7,7,3,4,8,6
7,8,8,5,8,6,5,8,3,6,4,5,4,5,7,3,6,4,8,8,7,3,6,8,7,3,8,7,5,5,7
8,3,3,5,5,3,6,4,4,4,5,5,3,3,4,4,4,3,4,5,3,4,3,4,5,4,6,4,6,3,5
9,6,7,7,4,4,7,6,6,4,6,7,4,4,6,4,8,6,7,7,7,7,8,6,8,5,5,5,5,8,5
10,5,7,7,6,8,7,8,5,4,7,8,8,5,6,5,4,7,7,4,7,5,8,6,5,4,7,8,4,6,4
11,8,4,4,8,5,4,4,7,6,7,7,5,7,4,4,4,6,6,7,6,7,5,8,8,4,7,6,6,7,7
12,7,6,5,6,6,5,7,6,7,8,8,7,6,8,8,8,5,8,8,7,5,6,4,7,7,6,7,6,7,5
13,4,7,9,7,7,7,7,6,6,7,5,7,9,8,6,4,6,6,8,7,9,4,8,9,5,5,9,5,5,6
14,3,4,4,2,4,3,3,2,3,4,2,3,2,3,3,3,2,5,4,4,2,3,4,2,3,4,4,4,4,3
15,5,4,5,5,4,5,3,3,5,3,2,5,4,5,4,2,2,4,4,2,4,3,4,3,3,3,4,3,4,4
16,5,7,7,7,7,7,7,5,6,6,4,8,6,6,8,4,6,5,4,7,6,5,5,7,8,7,8,6,8,7
17,4,4,7,6,8,7,8,5,8,7,4,9,7,9,6,8,5,9,5,7,4,4,7,8,6,7,7,8,5,8
18,8,8,6,6,8,6,8,5,6,5,6,8,7,5,4,6,8,7,5,7,8,6,5,6,5,6,7,8,5,5
19,6,8,8,5,7,8,5,8,8,4,9,7,7,6,7,5,5,7,7,5,8,9,8,7,6,6,6,6,8,7
20,8,6,8,7,4,5,4,4,7,3,6,4,3,8,4,6,7,6,5,5,8,5,7,7,6,6,8,4,5,4
21,6,5,9,7,8,7,7,7,9,8,5,7,8,6,7,7,9,8,8,8,6,7,8,7,8,8,8,7,7,8
22,6,3,4,4,4,5,5,6,4,5,5,4,3,5,3,5,3,5,5,4,3,4,4,4,3,3,5,6,3,6
23,1,5,2,7,5,7,6,1,6,8,5,5,10,6,8,1,3,1,8,6,5,3,3,3,3,3,6,7,3,4
24,4,3,2,3,4,3,3,4,4,3,2,3,2,2,3,4,5,3,4,3,4,4,4,4,4,3,2,4,3,3
25,8,6,7,6,4,4,6,6,7,7,6,6,7,8,5,7,7,6,4,6,8,8,5,4,7,4,7,7,5,5
26,3,3,4,5,4,6,3,4,4,7,3,4,4,3,4,4,4,6,5,7,7,4,6,5,6,6,7,6,3,5
27,4,7,5,4,8,8,8,8,6,7,6,7,4,6,7,7,8,4,8,6,6,6,3,7,5,7,8,6,8,4
28,5,5,7,8,8,6,8,9,7,8,6,5,6,8,9,6,8,9,7,5,6,7,7,7,8,7,7,6,6,5
29,2,3,3,2,4,3,3,2,2,3,4,2,3,3,2,2,1,2,3,3,2,1,3,4,3,2,2,2,1,2
30,4,4,6,4,4,4,4,6,4,4,3,4,7,5,4,4,3,5,4,7,3,3,7,3,7,5,5,4,7,4
31,3,4,6,5,4,6,3,6,4,3,4,5,3,5,6,6,4,4,3,6,4,7,7,4,5,5,5,4,7,6
